Planet Name,Planet Radius (Earth),Planet Mass (Earth),Orbital Distance (AU),Star Temperature (K),Habitability Label,Text Description
COCONUTS-2 b,12.44196858,2002.3189641,7506.0,3406.0,0,"COCONUTS-2 b is a gas giant much larger than Earth with an extremely massive planet. It orbits in a very distant orbit far from its star around a cool, red star. Numerically, it has a radius of 12.44 Earth radii, a mass of 2002.32 Earth masses, an orbital distance of 7506.00 AU, and its star's effective temperature is 3406 K."
CoRoT-1 b,19.223435,390.9309,0.02752,6298.0,0,"CoRoT-1 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 19.22 Earth radii, a mass of 390.93 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 6298 K."
CoRoT-1 b,15.91678,340.0781,0.0259,5950.0,0,"CoRoT-1 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 15.92 Earth radii, a mass of 340.08 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 5950 K."
CoRoT-1 b,17.385159,327.3649,0.02536,5950.0,0,"CoRoT-1 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 17.39 Earth radii, a mass of 327.36 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 5950 K."
CoRoT-1 b,16.58932,359.1479,0.0261,5950.0,0,"CoRoT-1 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 16.59 Earth radii, a mass of 359.15 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 5950 K."
CoRoT-10 b,10.87273,867.6759,0.1055,5075.0,0,"CoRoT-10 b is a gas giant much larger than Earth with an extremely massive planet. It orbits in a close-in orbit around its star around a relatively cool, Sun-like star. Numerically, it has a radius of 10.87 Earth radii, a mass of 867.68 Earth masses, an orbital distance of 0.11 AU, and its star's effective temperature is 5075 K."
CoRoT-10 b,10.87,874.0,0.1055,5075.0,0,"CoRoT-10 b is a gas giant much larger than Earth with an extremely massive planet. It orbits in a close-in orbit around its star around a relatively cool, Sun-like star. Numerically, it has a radius of 10.87 Earth radii, a mass of 874.00 Earth masses, an orbital distance of 0.11 AU, and its star's effective temperature is 5075 K."
CoRoT-10 b,10.547669,883.5674,0.106,5075.0,0,"CoRoT-10 b is a gas giant much larger than Earth with an extremely massive planet. It orbits in a close-in orbit around its star around a relatively cool, Sun-like star. Numerically, it has a radius of 10.55 Earth radii, a mass of 883.57 Earth masses, an orbital distance of 0.11 AU, and its star's effective temperature is 5075 K."
CoRoT-11 b,16.02887,832.7146,0.04407,6440.0,0,"CoRoT-11 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 16.03 Earth radii, a mass of 832.71 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 6440 K."
CoRoT-11 b,15.984034,743.7222,0.044,6440.0,0,"CoRoT-11 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 15.98 Earth radii, a mass of 743.72 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 6440 K."
CoRoT-11 b,16.03,740.51,0.0436,6440.0,0,"CoRoT-11 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 16.03 Earth radii, a mass of 740.51 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 6440 K."
CoRoT-12 b,16.14096,290.81445,0.04013,5675.0,0,"CoRoT-12 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 16.14 Earth radii, a mass of 290.81 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5675 K."
CoRoT-12 b,16.14,291.438,0.04016,5675.0,0,"CoRoT-12 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 16.14 Earth radii, a mass of 291.44 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5675 K."
CoRoT-12 b,15.13215,281.91521,0.0394,5675.0,0,"CoRoT-12 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 15.13 Earth radii, a mass of 281.92 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5675 K."
CoRoT-13 b,9.92,415.704,0.051,5945.0,0,"CoRoT-13 b is a Neptune-sized planet with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 9.92 Earth radii, a mass of 415.70 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5945 K."
CoRoT-13 b,14.033668,416.99296,0.051,5945.0,0,"CoRoT-13 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.03 Earth radii, a mass of 416.99 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5945 K."
CoRoT-13 b,9.919965,423.03173,0.05107,5945.0,0,"CoRoT-13 b is a Neptune-sized planet with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 9.92 Earth radii, a mass of 423.03 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5945 K."
CoRoT-14 b,11.410762,2437.7561,0.02687,6035.0,0,"CoRoT-14 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.41 Earth radii, a mass of 2437.76 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 6035 K."
CoRoT-14 b,12.22,2415.4,0.027,6035.0,0,"CoRoT-14 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 12.22 Earth radii, a mass of 2415.40 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 6035 K."
CoRoT-14 b,12.21781,2358.2986,0.02691,6040.0,0,"CoRoT-14 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 12.22 Earth radii, a mass of 2358.30 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 6040 K."
CoRoT-16 b,13.11,170.032,0.0618,5650.0,0,"CoRoT-16 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.11 Earth radii, a mass of 170.03 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 5650 K."
CoRoT-16 b,13.11453,168.13207,0.0618,5650.0,0,"CoRoT-16 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.11 Earth radii, a mass of 168.13 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 5650 K."
CoRoT-17 b,11.43318,765.9703,0.0481,5740.0,0,"CoRoT-17 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.43 Earth radii, a mass of 765.97 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5740 K."
CoRoT-17 b,11.287463,781.8618,0.0481,5740.0,0,"CoRoT-17 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.29 Earth radii, a mass of 781.86 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5740 K."
CoRoT-17 b,11.43,772.29,0.0461,5740.0,0,"CoRoT-17 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.43 Earth radii, a mass of 772.29 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5740 K."
CoRoT-18 b,14.68379,1099.6918,0.0295,5440.0,0,"CoRoT-18 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 14.68 Earth radii, a mass of 1099.69 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 5440 K."
CoRoT-18 b,14.68,1102.82,0.0295,5440.0,0,"CoRoT-18 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 14.68 Earth radii, a mass of 1102.82 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 5440 K."
CoRoT-18 b,14.022459,1039.3041,0.0286,5440.0,0,"CoRoT-18 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 14.02 Earth radii, a mass of 1039.30 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 5440 K."
CoRoT-19 b,14.46,352.78,0.0518,6090.0,0,"CoRoT-19 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.46 Earth radii, a mass of 352.78 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 6090 K."
CoRoT-19 b,14.45961,367.09365,0.05166,6090.0,0,"CoRoT-19 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.46 Earth radii, a mass of 367.09 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 6090 K."
CoRoT-19 b,13.33871,346.4347,0.0512,6090.0,0,"CoRoT-19 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.34 Earth radii, a mass of 346.43 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 6090 K."
CoRoT-2 b,16.47723,1150.5446,0.02854,5696.0,0,"CoRoT-2 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 16.48 Earth radii, a mass of 1150.54 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 5696 K."
CoRoT-2 b,16.36514,1134.6531,0.02835,5598.0,0,"CoRoT-2 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 16.37 Earth radii, a mass of 1134.65 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 5598 K."
CoRoT-2 b,16.432394,1048.839,0.0281,5625.0,0,"CoRoT-2 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 16.43 Earth radii, a mass of 1048.84 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 5625 K."
CoRoT-2 b,16.432,1102.82,0.02798,5625.0,0,"CoRoT-2 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 16.43 Earth radii, a mass of 1102.82 Earth masses, an orbital distance of 0.03 AU, and its star's effective temperature is 5625 K."
CoRoT-20 b,9.42,1347.54,0.0902,5880.0,0,"CoRoT-20 b is a Neptune-sized planet with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 9.42 Earth radii, a mass of 1347.54 Earth masses, an orbital distance of 0.09 AU, and its star's effective temperature is 5880 K."
CoRoT-20 b,9.41556,1344.4209,0.0901,5880.0,0,"CoRoT-20 b is a Neptune-sized planet with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 9.42 Earth radii, a mass of 1344.42 Earth masses, an orbital distance of 0.09 AU, and its star's effective temperature is 5880 K."
CoRoT-20 b,13.00244,1608.2198,0.0892,5880.0,0,"CoRoT-20 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.00 Earth radii, a mass of 1608.22 Earth masses, an orbital distance of 0.09 AU, and its star's effective temperature is 5880 K."
CoRoT-21 b,14.5717,705.5826,0.0416,6200.0,0,"CoRoT-21 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.57 Earth radii, a mass of 705.58 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 6200 K."
CoRoT-21 b,14.5717,718.2958,0.0417,6200.0,0,"CoRoT-21 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.57 Earth radii, a mass of 718.30 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 6200 K."
CoRoT-22 b,4.88,12.2,0.092,5939.0,0,"CoRoT-22 b is a Neptune-sized planet with significantly more massive than Earth. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 4.88 Earth radii, a mass of 12.20 Earth masses, an orbital distance of 0.09 AU, and its star's effective temperature is 5939 K."
CoRoT-23 b,11.77,889.9,0.048,5900.0,0,"CoRoT-23 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.77 Earth radii, a mass of 889.90 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5900 K."
CoRoT-23 b,11.76945,982.0947,0.0484,5900.0,0,"CoRoT-23 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.77 Earth radii, a mass of 982.09 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5900 K."
CoRoT-23 b,13.22662,972.5598,0.04809,5900.0,0,"CoRoT-23 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.23 Earth radii, a mass of 972.56 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5900 K."
CoRoT-24 b,3.7,5.7,0.056,4950.0,0,"CoRoT-24 b is a Neptune-sized planet with significantly more massive than Earth. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 3.70 Earth radii, a mass of 5.70 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 4950 K."
CoRoT-24 c,5.0,28.0,0.098,4950.0,0,"CoRoT-24 c is a Neptune-sized planet with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 5.00 Earth radii, a mass of 28.00 Earth masses, an orbital distance of 0.10 AU, and its star's effective temperature is 4950 K."
CoRoT-25 b,12.11,85.81,0.0578,6040.0,0,"CoRoT-25 b is a gas giant much larger than Earth with a very massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 12.11 Earth radii, a mass of 85.81 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 6040 K."
CoRoT-25 b,12.10572,93.12419,0.05789,6040.0,0,"CoRoT-25 b is a gas giant much larger than Earth with a very massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 12.11 Earth radii, a mass of 93.12 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 6040 K."
CoRoT-26 b,14.12,165.26,0.0526,5590.0,0,"CoRoT-26 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.12 Earth radii, a mass of 165.26 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5590 K."
CoRoT-26 b,14.12334,184.3414,0.0525,5590.0,0,"CoRoT-26 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 14.12 Earth radii, a mass of 184.34 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5590 K."
CoRoT-27 b,11.287463,3273.649,0.0467,5900.0,0,"CoRoT-27 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.29 Earth radii, a mass of 3273.65 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5900 K."
CoRoT-27 b,11.287,3302.11,0.0476,5900.0,0,"CoRoT-27 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.29 Earth radii, a mass of 3302.11 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 5900 K."
CoRoT-28 b,10.704595,152.87623,0.059,5150.0,0,"CoRoT-28 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 10.70 Earth radii, a mass of 152.88 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 5150 K."
CoRoT-28 b,10.704595,153.82972,0.0603,5150.0,0,"CoRoT-28 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 10.70 Earth radii, a mass of 153.83 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 5150 K."
CoRoT-29 b,10.0881,270.1555,0.0386,5260.0,0,"CoRoT-29 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 10.09 Earth radii, a mass of 270.16 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5260 K."
CoRoT-29 b,10.0881,266.9772,0.039,5260.0,0,"CoRoT-29 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 10.09 Earth radii, a mass of 266.98 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 5260 K."
CoRoT-3 b,11.623733,6979.5468,0.05783,6740.0,0,"CoRoT-3 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.62 Earth radii, a mass of 6979.55 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 6740 K."
CoRoT-3 b,11.32109,6814.2752,0.0574,6740.0,0,"CoRoT-3 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.32 Earth radii, a mass of 6814.28 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 6740 K."
CoRoT-30 b,11.309881,921.707,0.0844,5650.0,0,"CoRoT-30 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 11.31 Earth radii, a mass of 921.71 Earth masses, an orbital distance of 0.08 AU, and its star's effective temperature is 5650 K."
CoRoT-31 b,16.36514,266.9772,0.0586,5700.0,0,"CoRoT-31 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 16.37 Earth radii, a mass of 266.98 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 5700 K."
CoRoT-32 b,6.38913,47.6745,0.071,5970.0,0,"CoRoT-32 b is a Neptune-sized planet with a very massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 6.39 Earth radii, a mass of 47.67 Earth masses, an orbital distance of 0.07 AU, and its star's effective temperature is 5970 K."
CoRoT-35 b,18.83108758,349.6112477,0.0429,6390.0,0,"CoRoT-35 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 18.83 Earth radii, a mass of 349.61 Earth masses, an orbital distance of 0.04 AU, and its star's effective temperature is 6390 K."
CoRoT-36 b,15.80466279,216.12331676,0.066,6730.0,0,"CoRoT-36 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 15.80 Earth radii, a mass of 216.12 Earth masses, an orbital distance of 0.07 AU, and its star's effective temperature is 6730 K."
CoRoT-4 b,13.34,228.83,0.09,6190.0,0,"CoRoT-4 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.34 Earth radii, a mass of 228.83 Earth masses, an orbital distance of 0.09 AU, and its star's effective temperature is 6190 K."
CoRoT-4 b,13.00244,232.33373,0.0912,6190.0,0,"CoRoT-4 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.00 Earth radii, a mass of 232.33 Earth masses, an orbital distance of 0.09 AU, and its star's effective temperature is 6190 K."
CoRoT-4 b,13.33871,223.43449,0.09025,6190.0,0,"CoRoT-4 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.34 Earth radii, a mass of 223.43 Earth masses, an orbital distance of 0.09 AU, and its star's effective temperature is 6190 K."
CoRoT-5 b,15.558092,151.92274,0.04963,6100.0,0,"CoRoT-5 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 15.56 Earth radii, a mass of 151.92 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 6100 K."
CoRoT-5 b,13.249038,149.3801,0.05004,6100.0,0,"CoRoT-5 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.25 Earth radii, a mass of 149.38 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 6100 K."
CoRoT-5 b,15.558,148.42,0.04947,6100.0,0,"CoRoT-5 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 15.56 Earth radii, a mass of 148.42 Earth masses, an orbital distance of 0.05 AU, and its star's effective temperature is 6100 K."
CoRoT-6 b,13.282665,940.7768,0.0855,6090.0,0,"CoRoT-6 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.28 Earth radii, a mass of 940.78 Earth masses, an orbital distance of 0.09 AU, and its star's effective temperature is 6090 K."
CoRoT-6 b,13.068,940.74,0.0855,6090.0,0,"CoRoT-6 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.07 Earth radii, a mass of 940.74 Earth masses, an orbital distance of 0.09 AU, and its star's effective temperature is 6090 K."
CoRoT-6 b,13.069694,937.5985,0.0854,6090.0,0,"CoRoT-6 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 13.07 Earth radii, a mass of 937.60 Earth masses, an orbital distance of 0.09 AU, and its star's effective temperature is 6090 K."
CoRoT-7 b,1.68,21.0,0.0172,5275.0,0,"CoRoT-7 b is a super-Earth or mini-Neptune with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.68 Earth radii, a mass of 21.00 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 5275 K."
CoRoT-7 b,1.860694,6.99226,0.0169,5250.0,0,"CoRoT-7 b is a super-Earth or mini-Neptune with significantly more massive than Earth. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.86 Earth radii, a mass of 6.99 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 5250 K."
CoRoT-7 b,1.585,5.74,0.017016,5259.0,0,"CoRoT-7 b is a super-Earth or mini-Neptune with significantly more massive than Earth. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.58 Earth radii, a mass of 5.74 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 5259 K."
